id,italiano,pronunciacion,espanol,notas
B01_P01,"Ciao!","chao","¡Hola!","Saludo informal entre jóvenes."
B01_P02,"Come ti chiami?","cóme ti kiámi","¿Cómo te llamas?","Para presentarse."
B01_P03,"Mi chiamo Carmen.","mi kiámo Carmen","Me llamo Carmen.","Respuesta básica."
B01_P04,"Piacere!","pia-chére","Encantada.","Presentación informal."
B01_P05,"Come stai?","cóme stái","¿Cómo estás?","Saludo cotidiano."
B01_P06,"Sono spagnola, di Siviglia.","sóno españóla, di Siviglia","Soy española, de Sevilla.","Presentación personal."
B01_P07,"Studio Psicologia all’università.","stúdio psicolojía all università","Estudio Psicología en la universidad.","Información básica personal."
B01_P08,"È il mio primo anno.","è il mio prímo año","Es mi primer año.","Detalle personal."
B01_P09,"Tu cosa studi?","tú cósa stúdi","¿Tú qué estudias?","Conversación con compañeros."
B01_P10,"Parlo un po’ di italiano.","párlo un pó di italiano","Hablo un poco de italiano.","Para gestionar expectativas."
B01_P11,"Sto imparando e voglio migliorare.","stó imparándo e vóllio milloráre","Estoy aprendiendo y quiero mejorar.","Útil para romper el hielo."
B01_P12,"Possiamo parlare un po’?","posiámo parláre un pó","¿Podemos hablar un poco?","Iniciar conversación."
B01_P13,"Parli un po’ più lentamente, per favore?","párli un pó piú lentaménte, per favoré","¿Puedes hablar un poco más despacio, por favor?","Gestión comunicativa."
B01_P14,"Non ho capito bene.","non o capíto béne","No he entendido bien.","Petición de aclaración."
B01_P15,"Puoi ripetere?","puói ripétere","¿Puedes repetir?","Muy usada."
B01_P16,"Mi piace ascoltare musica e uscire con gli amici.","mi piáche ascoltáre música e uscíre con lli amíchi","Me gusta escuchar música y salir con amigos.","Conversación entre jóvenes."
B01_P17,"Che musica ti piace?","ke música ti piáche","¿Qué música te gusta?","Para conocer gustos."
B01_P18,"Ti va di prendere un caffè insieme?","ti va di prèndere un caffé insiéme","¿Te apetece tomar un café juntos?","Frase clave para socializar."
B01_P19,"Possiamo studiare insieme qualche volta.","posiámo studiáre insiéme quáike vólta","Podemos estudiar juntos alguna vez.","Contexto universitario."
B01_P20,"Dove vivi qui?","dóve vívi kui","¿Dónde vives aquí?","Conversación inicial."
B01_P21,"Io abito vicino all’università.","ío ábito vichíno all università","Yo vivo cerca de la universidad.","Información práctica."
B01_P22,"Ti piace la città?","ti piáche la chittá","¿Te gusta la ciudad?","Para continuar la conversación."
B01_P23,"Conosci qualche posto carino qui vicino?","conóshi quáike pósto caríno kui vichíno","¿Conoces algún sitio bonito cerca de aquí?","Para sugerencias de planes."
B01_P24,"È stato bello parlare con te.","e státe béllo parláre con té","Ha sido bonito hablar contigo.","Para cerrar conversación."
B01_P25,"A presto!","a présto","¡Hasta pronto!","Despedida informal."
